max_words,embedding_vocab_size,graph_variant,graph_nodes,graph_edges,beta_strategy,alpha,num_iters,dataset,original_score,retrofitted_score,delta,evaluated_pairs,total_pairs,coverage,runtime_seconds
full,400000,WN_all,75157,625835,symmetric_degree,0.5,10,WS-353,0.6085349998820805,0.6274229286926272,0.018887928810546684,353,353,1.0,86.60290183400502
full,400000,WN_all,75157,625835,symmetric_degree,0.5,10,SimLex-999,0.37050035710869067,0.519046761121679,0.14854640401298835,999,999,1.0,86.60290183400502
full,400000,WN_all,75157,625835,symmetric_degree,0.5,10,RG-65,0.7695249788612131,0.8845712580070644,0.1150462791458513,65,65,1.0,86.60290183400502
full,400000,WN_all,75157,625835,symmetric_degree,1.0,10,WS-353,0.6085349998820805,0.6622218303721505,0.05368683049007006,353,353,1.0,85.41750283399597
full,400000,WN_all,75157,625835,symmetric_degree,1.0,10,SimLex-999,0.37050035710869067,0.507977184601472,0.13747682749278134,999,999,1.0,85.41750283399597
full,400000,WN_all,75157,625835,symmetric_degree,1.0,10,RG-65,0.7695249788612131,0.8669777445738559,0.09745276571264283,65,65,1.0,85.41750283399597
full,400000,WN_all,75157,625835,symmetric_degree,2.0,10,WS-353,0.6085349998820805,0.6530090083717064,0.044474008489625905,353,353,1.0,77.89861383399693
full,400000,WN_all,75157,625835,symmetric_degree,2.0,10,SimLex-999,0.37050035710869067,0.47205919468279284,0.10155883757410217,999,999,1.0,77.89861383399693
full,400000,WN_all,75157,625835,symmetric_degree,2.0,10,RG-65,0.7695249788612131,0.8374075288283511,0.06788254996713805,65,65,1.0,77.89861383399693
full,400000,WN_all,75157,625835,symmetric_degree,0.5,10,WS-353,0.6085349998820805,0.6274229286926272,0.018887928810546684,353,353,1.0,86.78506058300263
full,400000,WN_all,75157,625835,symmetric_degree,0.5,10,SimLex-999,0.37050035710869067,0.519046761121679,0.14854640401298835,999,999,1.0,86.78506058300263
full,400000,WN_all,75157,625835,symmetric_degree,0.5,10,RG-65,0.7695249788612131,0.8845712580070644,0.1150462791458513,65,65,1.0,86.78506058300263
full,400000,WN_all,75157,625835,symmetric_degree,1.0,10,WS-353,0.6085349998820805,0.6622218303721505,0.05368683049007006,353,353,1.0,69.6315413750126
full,400000,WN_all,75157,625835,symmetric_degree,1.0,10,SimLex-999,0.37050035710869067,0.507977184601472,0.13747682749278134,999,999,1.0,69.6315413750126
full,400000,WN_all,75157,625835,symmetric_degree,1.0,10,RG-65,0.7695249788612131,0.8669777445738559,0.09745276571264283,65,65,1.0,69.6315413750126
full,400000,WN_all,75157,625835,symmetric_degree,2.0,10,WS-353,0.6085349998820805,0.6530090083717064,0.044474008489625905,353,353,1.0,71.74908333300846
full,400000,WN_all,75157,625835,symmetric_degree,2.0,10,SimLex-999,0.37050035710869067,0.47205919468279284,0.10155883757410217,999,999,1.0,71.74908333300846
full,400000,WN_all,75157,625835,symmetric_degree,2.0,10,RG-65,0.7695249788612131,0.8374075288283511,0.06788254996713805,65,65,1.0,71.74908333300846
