max_words,embedding_vocab_size,graph_variant,graph_nodes,graph_edges,beta_strategy,alpha,num_iters,dataset,original_score,retrofitted_score,delta,evaluated_pairs,total_pairs,coverage,runtime_seconds
full,400000,WN_syn,68807,187742,inverse_degree,1.0,10,WS-353,0.6085349998820805,0.6323461459691643,0.02381114608708379,353,353,1.0,13.375158583017765
full,400000,WN_syn,68807,187742,inverse_degree,1.0,10,SimLex-999,0.37050035710869067,0.4454504679799409,0.07495011087125025,999,999,1.0,13.375158583017765
full,400000,WN_syn,68807,187742,inverse_degree,1.0,10,RG-65,0.7695249788612131,0.7903749314267797,0.020849952565566654,65,65,1.0,13.375158583017765
full,400000,WN_syn,68807,187742,constant,1.0,10,WS-353,0.6085349998820805,0.4257715392894568,-0.18276346059262366,353,353,1.0,10.750969665998127
full,400000,WN_syn,68807,187742,constant,1.0,10,SimLex-999,0.37050035710869067,0.35111372284949155,-0.01938663425919912,999,999,1.0,10.750969665998127
full,400000,WN_syn,68807,187742,constant,1.0,10,RG-65,0.7695249788612131,0.6981892920960044,-0.07133568676520863,65,65,1.0,10.750969665998127
full,400000,WN_syn,68807,187742,symmetric_degree,1.0,10,WS-353,0.6085349998820805,0.6499900389390255,0.04145503905694503,353,353,1.0,15.639010499988217
full,400000,WN_syn,68807,187742,symmetric_degree,1.0,10,SimLex-999,0.37050035710869067,0.4691552052209376,0.09865484811224695,999,999,1.0,15.639010499988217
full,400000,WN_syn,68807,187742,symmetric_degree,1.0,10,RG-65,0.7695249788612131,0.7966255461372116,0.02710056727599852,65,65,1.0,15.639010499988217
full,400000,WN_all,75157,625835,inverse_degree,1.0,10,WS-353,0.6085349998820805,0.629245468480719,0.020710468598638565,353,353,1.0,19.864744291000534
full,400000,WN_all,75157,625835,inverse_degree,1.0,10,SimLex-999,0.37050035710869067,0.4620489018787795,0.09154854477008884,999,999,1.0,19.864744291000534
full,400000,WN_all,75157,625835,inverse_degree,1.0,10,RG-65,0.7695249788612131,0.8509141018739697,0.08138912301275658,65,65,1.0,19.864744291000534
full,400000,WN_all,75157,625835,constant,1.0,10,WS-353,0.6085349998820805,0.1043013562389387,-0.5042336436431418,353,353,1.0,19.3827530000126
full,400000,WN_all,75157,625835,constant,1.0,10,SimLex-999,0.37050035710869067,0.24638107230181336,-0.12411928480687731,999,999,1.0,19.3827530000126
full,400000,WN_all,75157,625835,constant,1.0,10,RG-65,0.7695249788612131,0.6934466928227047,-0.07607828603850841,65,65,1.0,19.3827530000126
full,400000,WN_all,75157,625835,symmetric_degree,1.0,10,WS-353,0.6085349998820805,0.6622218303721505,0.05368683049007006,353,353,1.0,27.011222332977923
full,400000,WN_all,75157,625835,symmetric_degree,1.0,10,SimLex-999,0.37050035710869067,0.507977184601472,0.13747682749278134,999,999,1.0,27.011222332977923
full,400000,WN_all,75157,625835,symmetric_degree,1.0,10,RG-65,0.7695249788612131,0.8669777445738559,0.09745276571264283,65,65,1.0,27.011222332977923
