graph_variant,beta_strategy,dataset,original_score,retrofitted_score,delta,evaluated_pairs,total_pairs,coverage
WN_syn,inverse_degree,WS-353,0.6085,0.6323,0.0238,353,353,1.0
WN_syn,inverse_degree,SimLex-999,0.3705,0.4455,0.075,999,999,1.0
WN_syn,inverse_degree,RG-65,0.7695,0.7904,0.0208,65,65,1.0
WN_syn,constant,WS-353,0.6085,0.4258,-0.1828,353,353,1.0
WN_syn,constant,SimLex-999,0.3705,0.3511,-0.0194,999,999,1.0
WN_syn,constant,RG-65,0.7695,0.6982,-0.0713,65,65,1.0
WN_syn,symmetric_degree,WS-353,0.6085,0.65,0.0415,353,353,1.0
WN_syn,symmetric_degree,SimLex-999,0.3705,0.4692,0.0987,999,999,1.0
WN_syn,symmetric_degree,RG-65,0.7695,0.7966,0.0271,65,65,1.0
WN_all,inverse_degree,WS-353,0.6085,0.6292,0.0207,353,353,1.0
WN_all,inverse_degree,SimLex-999,0.3705,0.462,0.0915,999,999,1.0
WN_all,inverse_degree,RG-65,0.7695,0.8509,0.0814,65,65,1.0
WN_all,constant,WS-353,0.6085,0.1043,-0.5042,353,353,1.0
WN_all,constant,SimLex-999,0.3705,0.2464,-0.1241,999,999,1.0
WN_all,constant,RG-65,0.7695,0.6934,-0.0761,65,65,1.0
WN_all,symmetric_degree,WS-353,0.6085,0.6622,0.0537,353,353,1.0
WN_all,symmetric_degree,SimLex-999,0.3705,0.508,0.1375,999,999,1.0
WN_all,symmetric_degree,RG-65,0.7695,0.867,0.0975,65,65,1.0
